,median_time_diff_days
Uganda,1655.181664554288
Japan,229.66666666666666
United Kingdom,863.6153846153846
Belgium,1068.5
Gambia,2397.158653846154
Peru,3146.4
,707.485401459854
Thailand,2008.191413237925
Togo,1045.5333333333333
Australia,1110.888888888889
USA,964.6494845360825
China,863.8876404494382
France,412.22222222222223
Cambodia,1980.4770642201836
Viet Nam,2392.0526315789475
Zambia,2549.1085526315787
Mozambique,2243.2704918032787
Brazil,2637.25
Kampala [Uganda],1454.25
Sweden,940.0
Malawi,852.5
Mali,2900.714285714286
Netherlands,419.5
Bangladesh,2447.4347826086955
Myanmar,2482.2972972972975
Laos,897.0
Kenya,272.0
Central African Republic,817.5833333333334
Switzerland,191.0
Ethiopia,1918.9064039408868
Ghana,3180.0
Guinea,2962.0
Cameroon,919.0
South Africa,817.0
Benin,1720.0
